X,Y,Z,OBJECTID,lsoa01cd,lsoa01nm,GlobalID
548317,183886,300,56,E01000056,Barking and Dagenham 018C,{3FDD83B8-CDD1-4F88-9BE3-27D70ADD1378}
547540,184228,300,57,E01000057,Barking and Dagenham 012A,{450059F6-072E-45A2-8F48-DA7625849C37}
548293,184440,300,58,E01000058,Barking and Dagenham 018D,{4F0AF0A5-722D-46D6-A3BE-E2C3E07D70C9}
548650,184098,300,59,E01000059,Barking and Dagenham 013C,{7DD50B1A-3CEF-4C46-93B0-39B9F684DAEA}
549311,186472,300,60,E01000060,Barking and Dagenham 006B,{7D17B8E3-F97C-403A-8B90-D9730E4C958F}
549320,186867,300,61,E01000061,Barking and Dagenham 006C,{4864F3E7-2D48-4BDC-838F-730F0C4C5C89}
549322,186064,300,62,E01000062,Barking and Dagenham 006D,{5A789307-0A2B-45D0-9EB2-4FFC4A6A64A4}
548834,186323,300,63,E01000063,Barking and Dagenham 004A,{2287A20A-946F-40C8-B8C9-8537397435EC}
549669,186081,300,64,E01000064,Barking and Dagenham 006E,{31F0CBCE-EF7E-4585-A107-226D13CF6761}
548674,185907,300,65,E01000065,Barking and Dagenham 007A,{50449C6D-12DC-40AB-8614-286978D00A7C}
546141,185205,300,66,E01000066,Barking and Dagenham 011A,{ACB31D61-E3AD-4A6C-93F0-89840DCDE84D}
545785,185211,300,67,E01000067,Barking and Dagenham 011B,{CB461712-8C9A-4C81-9EDB-305896C25C83}
545076,184528,300,68,E01000068,Barking and Dagenham 016E,{BDF3B1D7-849F-4615-8B59-A7C3EEF134D5}
545691,184787,300,69,E01000069,Barking and Dagenham 011C,{FD3E1A5C-0500-4A5C-B2F9-B4EDDFD572F2}
545289,184820,300,70,E01000070,Barking and Dagenham 011D,{DB5E85D0-C170-4B7D-B205-CE2E74C9D0DB}
545707,184435,300,71,E01000071,Barking and Dagenham 011E,{4DEC615C-DC20-462A-9FCA-26FD4955C89C}
546711,184761,300,72,E01000072,Barking and Dagenham 017E,{64A3C93F-E48A-41DF-9AB3-EB804771D54E}
546847,185104,300,73,E01000073,Barking and Dagenham 012B,{67B2E69A-4C02-4C41-9B33-AA62C51890D9}
547144,185138,300,74,E01000074,Barking and Dagenham 012C,{6A7C0825-F175-4AFC-B29F-FEDAE4B2D487}
547512,184693,300,75,E01000075,Barking and Dagenham 012D,{62A031AF-0425-4A49-9AC6-6E5397A92086}
547126,184602,300,76,E01000076,Barking and Dagenham 012E,{3BC6C19B-65B1-473F-AA93-6DFA880F9E9F}
547487,185542,300,77,E01000077,Barking and Dagenham 008F,{94861EDE-8A92-42AB-889C-AB1D48F83C9E}
547943,185877,300,78,E01000078,Barking and Dagenham 007B,{064777B1-38B4-483C-BBA1-D8A1EB368D81}
548548,185302,300,79,E01000079,Barking and Dagenham 009E,{78F819FB-74DC-468B-9A6A-2495B2BFD293}
547900,185463,300,80,E01000080,Barking and Dagenham 007C,{472756B3-712C-4CDF-B615-0EFE2FF12FB4}
548351,185649,300,81,E01000081,Barking and Dagenham 007D,{02F15D7B-3A9B-426B-ABD0-C8181C400B9F}
